documento_mentor_proposto;arquivo_mentor_proposto;modulo;nome_modulo;topico_macro;primeira_sessao_v4_1;ultima_sessao_v4_1;quantidade_sessoes_cobertas;tipos_sessao_cobertos;conteudo_consolidado_da_grade;regra_de_cobertura
1;001_M0_01_MAPA_DA_FORMACAO_COMPLETA_E_NIVEIS_DE_CARREIRA_JAVA.md;M0;Ambiente, método, ferramentas e rotina profissional;Mapa da formação completa e níveis de carreira Java;M0.01.01;M0.01.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;júnior, pleno, sênior, staff, arquiteto, expectativas reais, trilha v3/v4.1 e critérios de evolução. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | júnior, pleno, sênior, staff, arquiteto, expectativas reais, trilha v3/v4.1 e critérios de evolução. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | júnior, pleno, sênior, staff, arquiteto, expectativas reais, trilha v3/v4.1 e critérios de evolução. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | júnior, pleno, sênior, staff, arquiteto, expectativas reais, trilha v3/v4.1 e critérios de evolução. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
2;002_M0_02_DIAGNOSTICO_INICIAL_TECNICO_E_PLANO_DE_ESTUDO.md;M0;Ambiente, método, ferramentas e rotina profissional;Diagnóstico inicial técnico e plano de estudo;M0.02.01;M0.02.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;lógica, terminal, Git, banco, API, rotina semanal, metas de 30/60/90 dias e lacunas pessoais. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | lógica, terminal, Git, banco, API, rotina semanal, metas de 30/60/90 dias e lacunas pessoais. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | lógica, terminal, Git, banco, API, rotina semanal, metas de 30/60/90 dias e lacunas pessoais. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | lógica, terminal, Git, banco, API, rotina semanal, metas de 30/60/90 dias e lacunas pessoais. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
3;003_M0_03_ORGANIZACAO_DO_WINDOWS_PARA_DESENVOLVIMENTO.md;M0;Ambiente, método, ferramentas e rotina profissional;Organização do Windows para desenvolvimento;M0.03.01;M0.03.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;C:/dev, C:/dev/tools, C:/dev/projects, permissões, encoding, caminhos com espaço, boas práticas. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | C:/dev, C:/dev/tools, C:/dev/projects, permissões, encoding, caminhos com espaço, boas práticas. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | C:/dev, C:/dev/tools, C:/dev/projects, permissões, encoding, caminhos com espaço, boas práticas. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | C:/dev, C:/dev/tools, C:/dev/projects, permissões, encoding, caminhos com espaço, boas práticas. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
4;004_M0_04_TERMINAL_POWERSHELL_E_COMANDOS_BASICOS.md;M0;Ambiente, método, ferramentas e rotina profissional;Terminal, PowerShell e comandos básicos;M0.04.01;M0.04.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;cd, dir, mkdir, copy, del, cls, history, execução de comandos, variáveis e troubleshooting. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | cd, dir, mkdir, copy, del, cls, history, execução de comandos, variáveis e troubleshooting. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | cd, dir, mkdir, copy, del, cls, history, execução de comandos, variáveis e troubleshooting. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | cd, dir, mkdir, copy, del, cls, history, execução de comandos, variáveis e troubleshooting. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
5;005_M0_05_JDK_JRE_JVM_E_ESCOLHA_DE_VERSAO_LTS.md;M0;Ambiente, método, ferramentas e rotina profissional;JDK, JRE, JVM e escolha de versão LTS;M0.05.01;M0.05.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;diferenças, instalação, JAVA_HOME, Path, java -version, javac -version e compatibilidade. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | diferenças, instalação, JAVA_HOME, Path, java -version, javac -version e compatibilidade. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | diferenças, instalação, JAVA_HOME, Path, java -version, javac -version e compatibilidade. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | diferenças, instalação, JAVA_HOME, Path, java -version, javac -version e compatibilidade. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
6;006_M0_06_COMPILACAO_MANUAL_COM_JAVAC.md;M0;Ambiente, método, ferramentas e rotina profissional;Compilação manual com javac;M0.06.01;M0.06.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;arquivo .java, bytecode .class, execução com java, erros de compilação e noção de classpath. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | arquivo .java, bytecode .class, execução com java, erros de compilação e noção de classpath. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | arquivo .java, bytecode .class, execução com java, erros de compilação e noção de classpath. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | arquivo .java, bytecode .class, execução com java, erros de compilação e noção de classpath. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
7;007_M0_07_INTELLIJ_IDEA_COMMUNITY_COMPLETO.md;M0;Ambiente, método, ferramentas e rotina profissional;IntelliJ IDEA Community completo;M0.07.01;M0.07.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;projeto, SDK, run configurations, atalhos, formatação, terminal integrado, estrutura src. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | projeto, SDK, run configurations, atalhos, formatação, terminal integrado, estrutura src. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | projeto, SDK, run configurations, atalhos, formatação, terminal integrado, estrutura src. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | projeto, SDK, run configurations, atalhos, formatação, terminal integrado, estrutura src. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
8;008_M0_08_DEBUG_INICIAL_NO_INTELLIJ.md;M0;Ambiente, método, ferramentas e rotina profissional;Debug inicial no IntelliJ;M0.08.01;M0.08.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;breakpoint, step over, step into, variables, watches, call stack e leitura de fluxo. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | breakpoint, step over, step into, variables, watches, call stack e leitura de fluxo. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | breakpoint, step over, step into, variables, watches, call stack e leitura de fluxo. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | breakpoint, step over, step into, variables, watches, call stack e leitura de fluxo. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
9;009_M0_09_GIT_INSTALACAO_E_CONFIGURACAO_GLOBAL.md;M0;Ambiente, método, ferramentas e rotina profissional;Git instalação e configuração global;M0.09.01;M0.09.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;git-scm, user.name, user.email, autocrlf, branch padrão, credenciais e validações. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | git-scm, user.name, user.email, autocrlf, branch padrão, credenciais e validações. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | git-scm, user.name, user.email, autocrlf, branch padrão, credenciais e validações. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | git-scm, user.name, user.email, autocrlf, branch padrão, credenciais e validações. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
10;010_M0_10_GIT_LOCAL_DO_ZERO.md;M0;Ambiente, método, ferramentas e rotina profissional;Git local do zero;M0.10.01;M0.10.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;init, status, add, commit, log, diff, restore, .gitignore e mensagens coerentes. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | init, status, add, commit, log, diff, restore, .gitignore e mensagens coerentes. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | init, status, add, commit, log, diff, restore, .gitignore e mensagens coerentes. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | init, status, add, commit, log, diff, restore, .gitignore e mensagens coerentes. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
