documento;arquivo;codigo_topico;modulo;nome_modulo;objetivo_modulo;referencia_v3;topico_macro;nivel;sessoes_v4_1_fundidas;tipos_sessao_v4_1;conteudos_v4_1;decisao_pedagogica
0;000_AULA_DE_ABERTURA_O_CAMINHO_PARA_SE_TORNAR_ENGENHEIRO_JAVA_BACKEND_ARQUITETO_JAVA.md;P0.00;P0;Prólogo mentorado da formação;Alinhar propósito, postura, método e responsabilidade da formação antes da grade técnica.;Novo na v5 mentorada;Aula de abertura: o caminho para se tornar Engenheiro Java Backend / Arquiteto Java;base;0;Aula mentorada de abertura;Propósito da formação, visão de carreira, diferença entre aprender sintaxe e formar pensamento de engenharia.;novo documento obrigatório da grade v5 mentorada
1;001_COMO_ESTUDAR_ESTA_FORMACAO_SEM_SE_PERDER_E_SEM_VIRAR_COLECIONADOR_DE_AULAS.md;P0.01;P0;Prólogo mentorado da formação;Ensinar como estudar a formação sem acumular arquivos passivamente.;Novo na v5 mentorada;Como estudar esta formação sem se perder e sem virar colecionador de aulas;base;0;Aula mentorada de método;Como ler, praticar, revisar, explicar, registrar dúvidas, evitar pressa e estudar por entendimento.;novo documento obrigatório da grade v5 mentorada
2;002_O_PACTO_DA_MENTORIA_COMO_PENSAR_PRATICAR_ERRAR_E_EVOLUIR.md;P0.02;P0;Prólogo mentorado da formação;Definir o pacto da mentoria: aprender com profundidade, errar bem e evoluir com rastreabilidade.;Novo na v5 mentorada;O pacto da mentoria: como pensar, praticar, errar e evoluir;base;0;Aula mentorada de postura técnica;Postura de engenheiro, prática deliberada, perguntas melhores, leitura de erro, registro e evolução.;novo documento obrigatório da grade v5 mentorada
3;003_MAPA_DA_FORMACAO_DO_FUNDAMENTO_JAVA_A_ARQUITETURA_DE_SISTEMAS.md;P0.03;P0;Prólogo mentorado da formação;Apresentar a formação inteira como mapa de evolução técnica e não como lista de assuntos.;Novo na v5 mentorada;Mapa da formação: do fundamento Java à arquitetura de sistemas;base;0;Aula mentorada de visão geral;Como os módulos se conectam: Java Core, backend, dados, testes, segurança, produção, arquitetura e carreira.;novo documento obrigatório da grade v5 mentorada
4;004_COMO_USAR_IA_CODEX_E_CHATGPT_SEM_TERCEIRIZAR_RACIOCINIO_TECNICO.md;P0.04;P0;Prólogo mentorado da formação;Ensinar a usar IA e Codex como acelerador de raciocínio, não como substituto.;Novo na v5 mentorada;Como usar IA, Codex e ChatGPT sem terceirizar raciocínio técnico;base;0;Aula mentorada de uso responsável de IA;Boas perguntas, validação técnica, revisão de código gerado, risco de alucinação, aprendizado ativo e ética.;novo documento obrigatório da grade v5 mentorada
5;005_DIARIO_DE_BORDO_RASTREABILIDADE_E_PROVA_DE_EVOLUCAO_TECNICA.md;P0.05;P0;Prólogo mentorado da formação;Definir diário de bordo como ferramenta real de evolução e não burocracia.;Novo na v5 mentorada;Diário de bordo, rastreabilidade e prova de evolução técnica;base;0;Aula mentorada de rastreabilidade;Como registrar aprendizado, erros, comandos, decisões, dúvidas e evidências de evolução.;novo documento obrigatório da grade v5 mentorada
6;006_AMBIENTE_REPOSITORIO_E_ROTINA_PROFISSIONAL_DE_ESTUDO.md;P0.06;P0;Prólogo mentorado da formação;Definir o ambiente e o repositório como laboratório de formação profissional.;Novo na v5 mentorada;Ambiente, repositório e rotina profissional de estudo;base;0;Aula mentorada de preparação;Organização local, versionamento, rotina, evidências, pastas e critério de avanço.;novo documento obrigatório da grade v5 mentorada
7;007_CRITERIOS_DE_EVOLUCAO_JUNIOR_PLENO_SENIOR_ENGENHEIRO_E_ARQUITETO.md;P0.07;P0;Prólogo mentorado da formação;Explicar níveis de carreira como critérios técnicos reais.;Novo na v5 mentorada;Critérios de evolução: júnior, pleno, sênior, engenheiro e arquiteto;base;0;Aula mentorada de carreira técnica;Diferenças de autonomia, profundidade, responsabilidade, desenho técnico, comunicação e impacto.;novo documento obrigatório da grade v5 mentorada
8;008_M0_01_MAPA_DA_FORMACAO_COMPLETA_E_NIVEIS_DE_CARREIRA_JAVA.md;M0.01;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Mapa da formação completa e níveis de carreira Java;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;júnior, pleno, sênior, staff, arquiteto, expectativas reais, trilha v3/v4.1 e critérios de evolução. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | júnior, pleno, sênior, staff, arquiteto, expectativas reais, trilha v3/v4.1 e critérios de evolução. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | júnior, pleno, sênior, staff, arquiteto, expectativas reais, trilha v3/v4.1 e critérios de evolução. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | júnior, pleno, sênior, staff, arquiteto, expectativas reais, trilha v3/v4.1 e critérios de evolução. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
9;009_M0_02_DIAGNOSTICO_INICIAL_TECNICO_E_PLANO_DE_ESTUDO.md;M0.02;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Diagnóstico inicial técnico e plano de estudo;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;lógica, terminal, Git, banco, API, rotina semanal, metas de 30/60/90 dias e lacunas pessoais. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | lógica, terminal, Git, banco, API, rotina semanal, metas de 30/60/90 dias e lacunas pessoais. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | lógica, terminal, Git, banco, API, rotina semanal, metas de 30/60/90 dias e lacunas pessoais. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | lógica, terminal, Git, banco, API, rotina semanal, metas de 30/60/90 dias e lacunas pessoais. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
10;010_M0_03_ORGANIZACAO_DO_WINDOWS_PARA_DESENVOLVIMENTO.md;M0.03;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Organização do Windows para desenvolvimento;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;C:/dev, C:/dev/tools, C:/dev/projects, permissões, encoding, caminhos com espaço, boas práticas. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | C:/dev, C:/dev/tools, C:/dev/projects, permissões, encoding, caminhos com espaço, boas práticas. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | C:/dev, C:/dev/tools, C:/dev/projects, permissões, encoding, caminhos com espaço, boas práticas. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | C:/dev, C:/dev/tools, C:/dev/projects, permissões, encoding, caminhos com espaço, boas práticas. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
11;011_M0_04_TERMINAL_POWERSHELL_E_COMANDOS_BASICOS.md;M0.04;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Terminal, PowerShell e comandos básicos;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;cd, dir, mkdir, copy, del, cls, history, execução de comandos, variáveis e troubleshooting. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | cd, dir, mkdir, copy, del, cls, history, execução de comandos, variáveis e troubleshooting. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | cd, dir, mkdir, copy, del, cls, history, execução de comandos, variáveis e troubleshooting. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | cd, dir, mkdir, copy, del, cls, history, execução de comandos, variáveis e troubleshooting. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
12;012_M0_05_JDK_JRE_JVM_E_ESCOLHA_DE_VERSAO_LTS.md;M0.05;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;JDK, JRE, JVM e escolha de versão LTS;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;diferenças, instalação, JAVA_HOME, Path, java -version, javac -version e compatibilidade. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | diferenças, instalação, JAVA_HOME, Path, java -version, javac -version e compatibilidade. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | diferenças, instalação, JAVA_HOME, Path, java -version, javac -version e compatibilidade. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | diferenças, instalação, JAVA_HOME, Path, java -version, javac -version e compatibilidade. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
13;013_M0_06_COMPILACAO_MANUAL_COM_JAVAC.md;M0.06;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Compilação manual com javac;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;arquivo .java, bytecode .class, execução com java, erros de compilação e noção de classpath. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | arquivo .java, bytecode .class, execução com java, erros de compilação e noção de classpath. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | arquivo .java, bytecode .class, execução com java, erros de compilação e noção de classpath. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | arquivo .java, bytecode .class, execução com java, erros de compilação e noção de classpath. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
