ordem;codigo_sessao;modulo;nome_modulo;objetivo_modulo;referencia_v3;topico_macro;nivel;tipo_sessao;titulo_aula;conteudo_programado;pratica;entrega;criterio_aprovacao;observacao
1;M0.01.01;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Mapa da formação completa e níveis de carreira Java;base;Conceito, por que existe e vocabulário essencial;Mapa da formação completa e níveis de carreira Java - Conceito, por que existe e vocabulário essencial;júnior, pleno, sênior, staff, arquiteto, expectativas reais, trilha v3/v4.1 e critérios de evolução. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
2;M0.01.02;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Mapa da formação completa e níveis de carreira Java;base;Exemplo mínimo digitado do zero;Mapa da formação completa e níveis de carreira Java - Exemplo mínimo digitado do zero;júnior, pleno, sênior, staff, arquiteto, expectativas reais, trilha v3/v4.1 e critérios de evolução. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
3;M0.01.03;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Mapa da formação completa e níveis de carreira Java;base;Exemplo aplicado ao domínio corporativo;Mapa da formação completa e níveis de carreira Java - Exemplo aplicado ao domínio corporativo;júnior, pleno, sênior, staff, arquiteto, expectativas reais, trilha v3/v4.1 e critérios de evolução. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
4;M0.01.04;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Mapa da formação completa e níveis de carreira Java;base;Erros comuns, diagnóstico e perguntas de fixação;Mapa da formação completa e níveis de carreira Java - Erros comuns, diagnóstico e perguntas de fixação;júnior, pleno, sênior, staff, arquiteto, expectativas reais, trilha v3/v4.1 e critérios de evolução. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;desafio aplicado, revisão técnica, perguntas de fixação e commit quando aplicável;entrega validada, documentação curta, critérios aprovados e Git limpo quando houver projeto;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
5;M0.02.01;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Diagnóstico inicial técnico e plano de estudo;base;Conceito, por que existe e vocabulário essencial;Diagnóstico inicial técnico e plano de estudo - Conceito, por que existe e vocabulário essencial;lógica, terminal, Git, banco, API, rotina semanal, metas de 30/60/90 dias e lacunas pessoais. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
6;M0.02.02;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Diagnóstico inicial técnico e plano de estudo;base;Exemplo mínimo digitado do zero;Diagnóstico inicial técnico e plano de estudo - Exemplo mínimo digitado do zero;lógica, terminal, Git, banco, API, rotina semanal, metas de 30/60/90 dias e lacunas pessoais. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
7;M0.02.03;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Diagnóstico inicial técnico e plano de estudo;base;Exemplo aplicado ao domínio corporativo;Diagnóstico inicial técnico e plano de estudo - Exemplo aplicado ao domínio corporativo;lógica, terminal, Git, banco, API, rotina semanal, metas de 30/60/90 dias e lacunas pessoais. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
8;M0.02.04;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Diagnóstico inicial técnico e plano de estudo;base;Erros comuns, diagnóstico e perguntas de fixação;Diagnóstico inicial técnico e plano de estudo - Erros comuns, diagnóstico e perguntas de fixação;lógica, terminal, Git, banco, API, rotina semanal, metas de 30/60/90 dias e lacunas pessoais. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;desafio aplicado, revisão técnica, perguntas de fixação e commit quando aplicável;entrega validada, documentação curta, critérios aprovados e Git limpo quando houver projeto;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
9;M0.03.01;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Organização do Windows para desenvolvimento;base;Conceito, por que existe e vocabulário essencial;Organização do Windows para desenvolvimento - Conceito, por que existe e vocabulário essencial;C:/dev, C:/dev/tools, C:/dev/projects, permissões, encoding, caminhos com espaço, boas práticas. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
10;M0.03.02;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Organização do Windows para desenvolvimento;base;Exemplo mínimo digitado do zero;Organização do Windows para desenvolvimento - Exemplo mínimo digitado do zero;C:/dev, C:/dev/tools, C:/dev/projects, permissões, encoding, caminhos com espaço, boas práticas. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
